review_id,customer_id,product_name,review_title,review_text,rating,sentiment_label,date_posted,verified_purchase,review_source,language,helpful_votes,region,emotions_detected,aspect_mentioned,keywords
10001,CUST_001,iPhone 15 Pro Max,Excellent téléphone,"J'adore cet iPhone ! La caméra est incroyable et la batterie tient toute la journée.",5,Positif,2024-01-10,Oui,Apple Store,Français,45,France,Joie,"Caméra, Batterie","autonomie, photos, design"
10002,CUST_002,MacBook Air M2,Bien mais...,"Le design est superbe mais je trouve qu'il chauffe un peu trop vite.",3,Neutre,2024-01-12,Oui,Amazon,Français,20,Belgique,Déception,"Performance, Design","chauffe, écran, léger"
10003,CUST_003,AirPods Pro 2,Déçu...,"La qualité sonore est bonne mais ils ne tiennent pas bien dans mes oreilles.",2,Négatif,2024-01-15,Non,Fnac,Français,10,Suisse,Colère,"Confort, Son","oreilles, qualité sonore, confort"
10004,CUST_004,iPad Pro 12.9,Superbe performance,"L'écran est magnifique et le stylet fonctionne à merveille pour mes dessins.",5,Positif,2024-01-20,Oui,Apple Store,Français,60,Canada,Joie,"Écran, Stylet","dessins, précision, fluidité"
10005,CUST_005,Apple Watch Series 9,Pas satisfait,"La batterie ne tient pas longtemps, je dois la recharger tous les jours.",2,Négatif,2024-01-22,Oui,Darty,Français,30,France,Frustration,"Batterie, Autonomie","recharge, autonomie, santé"
10006,CUST_006,iPhone 14,Bon rapport qualité-prix,"Performances correctes, mais je trouve l'écran moins lumineux que prévu.",4,Neutre,2024-01-25,Oui,Amazon,Français,15,France,Satisfaction,"Écran, Performance","luminosité, fluidité, rapidité"
10007,CUST_007,MacBook Pro M1,Impressionnant,"Très fluide et rapide, parfait pour mon travail de graphisme.",5,Positif,2024-02-01,Oui,Apple Store,Français,50,France,Joie,"Performance, Design","puissance, autonomie, design"
10008,CUST_008,AirPods Max,Trop cher pour la qualité,"Son correct, mais le prix est excessif pour ce que c'est.",3,Neutre,2024-02-05,Non,Fnac,Français,25,France,Déception,"Prix, Son","qualité sonore, prix élevé, confort"
10009,CUST_009,iPad Air 5,Très pratique,"Excellent pour prendre des notes en cours, léger et puissant.",5,Positif,2024-02-10,Oui,Amazon,Français,40,Belgique,Joie,"Portabilité, Stylet","légèreté, puissance, note"
10010,CUST_010,Apple Watch SE,Bonne montre,"Très bon suivi de la santé, mais autonomie un peu juste.",4,Positif,2024-02-12,Oui,Darty,Français,35,Suisse,Satisfaction,"Santé, Autonomie","fitness, suivi, recharge"
10091,CUST_091,HomePod,Son exceptionnel,"Superbe qualité audio, parfait pour mon salon.",5,Positif,2024-06-25,Oui,Amazon,Français,48,France,Joie,"Son, Design","musique, salon, connectivité"
10092,CUST_092,MacBook Pro 14,Magnifique écran,"L'écran est splendide mais le poids est un peu élevé.",4,Positif,2024-06-28,Oui,Apple Store,Français,34,Belgique,Satisfaction,"Écran, Poids","lumière, couleur, transport"
10093,CUST_093,AirPods Pro 2,Batterie moyenne,"Bonne isolation sonore mais la batterie s'épuise vite.",3,Neutre,2024-07-02,Non,Fnac,Français,29,France,Déception,"Batterie, Confort","recharge, autonomie, qualité"
10094,CUST_094,Apple Watch Series 8,Satisfaction globale,"Fonctions sportives au top, mais design classique.",4,Positif,2024-07-05,Oui,Darty,Français,32,Suisse,Satisfaction,"Fonctions, Design","sport, suivi, fitness"
10095,CUST_095,MacBook Air M2,Léger et rapide,"Super ordinateur portable pour les étudiants.",5,Positif,2024-07-08,Oui,Amazon,Français,41,France,Joie,"Poids, Performance","étudiant, travail, transport"
10096,CUST_096,Apple TV 4K,Bon produit,"Bonne qualité d'image, mais peu d'applications disponibles.",3,Neutre,2024-07-12,Oui,Apple Store,Français,19,Belgique,Déception,"Qualité, Applications","streaming, contenu, image"
10097,CUST_097,iPad Pro 11,Utilisation facile,"Très intuitif et rapide, mais un peu fragile.",4,Positif,2024-07-15,Oui,Fnac,Français,38,Canada,Satisfaction,"Écran, Portabilité","léger, rapide, écran"
10098,CUST_098,iPhone 13 Mini,Parfait pour moi,"Petit format pratique, mais batterie faible.",4,Positif,2024-07-18,Oui,Amazon,Français,45,France,Satisfaction,"Taille, Batterie","autonomie, transport, pratique"
